Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
408.748,17.5353,16.9656,16.433,15.9371,15.4776,15.0541,14.6662,14.3136,13.9959,13.713,13.4647,13.2506,13.0706,12.9246,12.8125,12.7341,12.6895,12.6786,12.7015,12.7581,12.8485,12.9729,13.1314,13.3241,13.5513,13.8131,14.1099,14.4419,14.8094,15.2129,15.6525,16.1288,16.6422,17.1931,17.782,18.4094,19.0758,19.7817,20.5278,21.3145,22.1425
422.791,18.4162,17.8364,17.2944,16.7896,16.3218,15.8905,15.4955,15.1364,14.8129,14.5248,14.2719,14.0539,13.8708,13.7223,13.6083,13.5289,13.4838,13.4732,13.497,13.5553,13.648,13.7754,13.9376,14.1347,14.3669,14.6345,14.9376,15.2766,15.6517,16.0634,16.5118,16.9975,17.5208,18.0822,18.6821,19.321,19.9993,20.7177,21.4766,22.2767,23.1184
436.834,19.3089,18.7195,18.1683,17.655,17.1792,16.7405,16.3387,15.9733,15.6443,15.3512,15.0939,14.8723,14.6861,14.5352,14.4195,14.339,14.2935,14.2832,14.3079,14.3677,14.4627,14.593,14.7588,14.9601,15.1971,15.4701,15.7794,16.125,16.5075,16.927,17.3839,17.8786,18.4114,18.9828,19.5933,20.2432,20.933,21.6633,22.4346,23.2474,24.1022
450.877,20.213,19.6143,19.0544,18.5329,18.0494,17.6036,17.1952,16.8239,16.4895,16.1917,15.9302,15.705,15.5159,15.3627,15.2454,15.1638,15.118,15.1078,15.1334,15.1948,15.292,15.4251,15.5942,15.7995,16.0412,16.3195,16.6346,16.9867,17.3761,17.8032,18.2682,18.7715,19.3135,19.8945,20.5151,21.1756,21.8764,22.6182,23.4013,24.2262,25.0936
464.92,21.1279,20.5204,19.9521,19.4227,18.9319,18.4793,18.0646,17.6876,17.348,17.0456,16.7802,16.5516,16.3596,16.2042,16.0853,16.0027,15.9565,15.9466,15.9731,16.0359,16.1352,16.2709,16.4434,16.6526,16.8987,17.182,17.5027,17.8609,18.2571,18.6914,19.1642,19.6757,20.2265,20.8168,21.4471,22.1177,22.8291,23.5818,24.3763,25.213,26.0924
476.788,21.9086,21.2939,20.7188,20.183,19.6861,19.228,18.8082,18.4265,18.0827,17.7765,17.5079,17.2765,17.0822,16.9251,16.8048,16.7215,16.6749,16.6653,16.6924,16.7564,16.8574,16.9953,17.1704,17.3828,17.6326,17.92,18.2452,18.6085,19.0101,19.4503,19.9294,20.4478,21.0057,21.6035,22.2417,22.9206,23.6407,24.4023,25.206,26.0523,26.9415
488.655,22.6965,22.0748,21.4931,20.9511,20.4485,19.985,19.5603,19.1741,18.8262,18.5165,18.2446,18.0106,17.8141,17.6552,17.5337,17.4496,17.4028,17.3933,17.4211,17.4863,17.5888,17.7289,17.9066,18.122,18.3753,18.6667,18.9963,19.3645,19.7713,20.2173,20.7025,21.2273,21.7922,22.3973,23.0431,23.73,24.4584,25.2287,26.0413,26.8968,27.7955
500.523,23.4914,22.863,22.275,21.727,21.2188,20.7501,20.3206,19.93,19.5783,19.265,18.9902,18.7535,18.555,18.3944,18.2717,18.1868,18.1397,18.1304,18.1588,18.2251,18.3293,18.4714,18.6516,18.8699,19.1266,19.4218,19.7557,20.1285,20.5405,20.9919,21.4831,22.0142,22.5857,23.1978,23.851,24.5456,25.282,26.0607,26.8819,27.7463,28.6542
512.39,24.2931,23.6582,23.064,22.5102,21.9966,21.5229,21.0888,20.6941,20.3385,20.022,19.7442,19.505,19.3044,19.1422,19.0183,18.9327,18.8854,18.8762,18.9053,18.9727,19.0784,19.2224,19.405,19.6262,19.8862,20.1851,20.5231,20.9004,21.3174,21.7741,22.2709,22.8081,23.386,24.005,24.6653,25.3673,26.1115,26.8981,27.7277,28.6007,29.5174
524.258,25.1013,24.4601,23.86,23.3006,22.7819,22.3033,21.8648,21.466,21.1068,20.787,20.5063,20.2648,20.0622,19.8984,19.7734,19.6872,19.6395,19.6306,19.6603,19.7287,19.8358,19.9818,20.1667,20.3906,20.6537,20.9562,21.2982,21.6799,22.1016,22.5634,23.0658,23.6088,24.1929,24.8184,25.4856,26.1948,26.9465,27.7409,28.5785,29.4598,30.385
